X,Y,Time Stamp
X,Y,Time Stamp
X,Y,Time Stamp
X,Y,Time Stamp
216.5,239.0,2018-11-04 17:16:55
322.0,149.5,2018-11-04 17:16:55
218.0,115.0,2018-11-04 17:16:55
319.5,149.5,2018-11-04 17:16:55
218.0,112.0,2018-11-04 17:16:55
319.0,150.5,2018-11-04 17:16:55
215.0,239.0,2018-11-04 17:16:55
318.0,150.5,2018-11-04 17:16:55
215.0,239.0,2018-11-04 17:16:55
319.0,146.0,2018-11-04 17:16:55
212.5,235.5,2018-11-04 17:16:55
320.0,149.5,2018-11-04 17:16:55
213.5,235.5,2018-11-04 17:16:55
317.0,149.5,2018-11-04 17:16:55
213.5,235.5,2018-11-04 17:16:55
317.0,153.0,2018-11-04 17:16:55
212.5,235.5,2018-11-04 17:16:55
314.5,148.5,2018-11-04 17:16:56
212.5,237.5,2018-11-04 17:16:56
315.5,146.0,2018-11-04 17:16:56
212.5,237.5,2018-11-04 17:16:56
317.0,148.0,2018-11-04 17:16:56
212.5,237.5,2018-11-04 17:16:56
315.5,145.0,2018-11-04 17:16:56
212.5,234.0,2018-11-04 17:16:56
315.5,148.0,2018-11-04 17:16:56
216.0,109.5,2018-11-04 17:16:56
315.5,149.5,2018-11-04 17:16:56
213.5,236.5,2018-11-04 17:16:56
319.5,149.5,2018-11-04 17:16:56
213.5,236.5,2018-11-04 17:16:56
316.0,146.0,2018-11-04 17:16:56
216.0,112.0,2018-11-04 17:16:56
316.5,151.5,2018-11-04 17:16:56
212.5,233.0,2018-11-04 17:16:56
317.0,144.0,2018-11-04 17:16:57
212.5,236.5,2018-11-04 17:16:57
317.0,144.0,2018-11-04 17:16:57
212.5,234.0,2018-11-04 17:16:57
315.5,148.0,2018-11-04 17:16:57
212.5,234.0,2018-11-04 17:16:57
315.5,148.0,2018-11-04 17:16:57
215.0,106.0,2018-11-04 17:16:57
315.5,148.0,2018-11-04 17:16:57
212.5,236.5,2018-11-04 17:16:57
318.0,140.0,2018-11-04 17:16:57
212.5,236.5,2018-11-04 17:16:57
316.5,150.5,2018-11-04 17:16:57
212.5,236.5,2018-11-04 17:16:57
315.5,149.5,2018-11-04 17:16:57
213.5,233.0,2018-11-04 17:16:57
317.5,150.5,2018-11-04 17:16:58
216.0,106.0,2018-11-04 17:16:58
318.0,149.5,2018-11-04 17:16:58
217.0,109.5,2018-11-04 17:16:58
320.0,147.0,2018-11-04 17:16:58
215.0,236.5,2018-11-04 17:16:58
322.0,145.0,2018-11-04 17:16:58
218.0,109.5,2018-11-04 17:16:58
319.0,149.5,2018-11-04 17:16:58
216.0,233.0,2018-11-04 17:16:58
322.0,141.5,2018-11-04 17:16:58
216.5,236.5,2018-11-04 17:16:58
320.5,151.5,2018-11-04 17:16:58
219.0,109.5,2018-11-04 17:16:58
320.0,149.5,2018-11-04 17:16:58
219.0,109.5,2018-11-04 17:16:58
320.0,150.5,2018-11-04 17:16:58
217.5,234.0,2018-11-04 17:16:58
320.0,150.5,2018-11-04 17:16:59
216.0,234.0,2018-11-04 17:16:59
320.5,152.5,2018-11-04 17:16:59
220.5,113.0,2018-11-04 17:16:59
320.5,152.5,2018-11-04 17:16:59
220.5,110.5,2018-11-04 17:16:59
322.0,149.5,2018-11-04 17:16:59
201.0,242.0,2018-11-04 17:16:59
322.0,149.5,2018-11-04 17:16:59
201.0,242.0,2018-11-04 17:16:59
321.5,152.5,2018-11-04 17:16:59
218.0,242.0,2018-11-04 17:16:59
323.5,149.5,2018-11-04 17:16:59
221.5,110.5,2018-11-04 17:16:59
324.5,150.5,2018-11-04 17:16:59
221.5,110.5,2018-11-04 17:16:59
323.5,149.5,2018-11-04 17:16:59
221.5,110.5,2018-11-04 17:16:59
322.5,152.5,2018-11-04 17:17:00
221.5,110.5,2018-11-04 17:17:00
323.5,149.5,2018-11-04 17:17:00
221.5,110.5,2018-11-04 17:17:00
323.5,149.5,2018-11-04 17:17:00
221.5,110.5,2018-11-04 17:17:00
323.5,149.5,2018-11-04 17:17:00
221.5,110.5,2018-11-04 17:17:00
323.5,149.5,2018-11-04 17:17:00
221.5,110.5,2018-11-04 17:17:00
323.5,149.5,2018-11-04 17:17:00
221.5,110.5,2018-11-04 17:17:00
323.5,149.5,2018-11-04 17:17:00
221.5,113.0,2018-11-04 17:17:00
323.5,149.5,2018-11-04 17:17:00
221.5,110.5,2018-11-04 17:17:00
,,2018-11-04 17:17:01
221.5,110.5,2018-11-04 17:17:01
320.5,148.5,2018-11-04 17:17:01
221.5,110.5,2018-11-04 17:17:01
322.0,149.5,2018-11-04 17:17:01
221.5,113.0,2018-11-04 17:17:01
320.5,148.5,2018-11-04 17:17:01
221.5,113.0,2018-11-04 17:17:01
320.5,148.5,2018-11-04 17:17:01
221.5,113.0,2018-11-04 17:17:01
320.5,153.5,2018-11-04 17:17:01
221.5,113.0,2018-11-04 17:17:01
,,2018-11-04 17:17:01
221.5,113.0,2018-11-04 17:17:01
,,2018-11-04 17:17:01
221.5,170.0,2018-11-04 17:17:01
,,2018-11-04 17:17:01
220.5,109.0,2018-11-04 17:17:01
326.0,149.5,2018-11-04 17:17:02
221.5,169.0,2018-11-04 17:17:02
322.5,153.5,2018-11-04 17:17:02
221.5,107.0,2018-11-04 17:17:02
,,2018-11-04 17:17:02
221.5,109.5,2018-11-04 17:17:02
,,2018-11-04 17:17:02
221.5,107.0,2018-11-04 17:17:02
,,2018-11-04 17:17:02
221.5,109.5,2018-11-04 17:17:02
329.0,148.0,2018-11-04 17:17:02
221.5,109.5,2018-11-04 17:17:02
329.0,148.0,2018-11-04 17:17:02
